threshold,accuracy,f1_macro,precision_real,recall_real,f1_real,precision_fake,recall_fake,f1_fake,support_real,support_fake
0.5700000000000001,0.9914141414141414,0.991414121703677,0.9829488465396189,1.0,0.9914011127971675,1.0,0.983,0.9914271306101866,980,1000
0.58,0.9893939393939394,0.9893939366885871,0.9790209790209791,1.0,0.9893992932862191,1.0,0.979,0.989388580090955,980,1000
0.59,0.9883838383838384,0.9883838117167395,0.9770687936191426,1.0,0.9884014120020171,1.0,0.977,0.9883662114314619,980,1000
0.6,0.9848484848484849,0.9848480983598193,0.9702970297029703,1.0,0.9849246231155779,1.0,0.97,0.9847715736040609,980,1000
0.61,0.9828282828282828,0.9828274242871035,0.9664694280078896,1.0,0.9829488465396189,1.0,0.966,0.982706002034588,980,1000
0.62,0.9777777777777777,0.9777745123250432,0.95703125,1.0,0.9780439121756487,1.0,0.956,0.9775051124744376,980,1000
0.63,0.9727272727272728,0.9727192285042727,0.9477756286266924,1.0,0.9731876861966237,1.0,0.946,0.9722507708119219,980,1000
0.64,0.9686868686868687,0.9686727728730099,0.9404990403071017,1.0,0.9693372898120672,1.0,0.938,0.9680082559339526,980,1000
0.65,0.9606060606060606,0.9605722285932526,0.9262759924385633,1.0,0.9617271835132483,1.0,0.922,0.959417273673257,980,1000
0.66,0.954040404040404,0.9539812313506884,0.9150326797385621,1.0,0.9556313993174061,1.0,0.909,0.9523310633839707,980,1000
0.67,0.9434343434343434,0.9433119560238205,0.8974358974358975,1.0,0.9459459459459459,1.0,0.888,0.940677966101695,980,1000
0.68,0.9303030303030303,0.9300546067606712,0.8765652951699463,1.0,0.9342230695900858,1.0,0.862,0.9258861439312567,980,1000
0.6900000000000001,0.9171717171717172,0.9167312876186255,0.8566433566433567,1.0,0.9227871939736346,1.0,0.836,0.9106753812636166,980,1000
0.7000000000000001,0.9025252525252525,0.9017753891495399,0.835464620630861,1.0,0.9103576405016256,1.0,0.807,0.8931931377974544,980,1000
0.71,0.8914141414141414,0.8903506230078237,0.8200836820083682,1.0,0.9011494252873563,1.0,0.785,0.8795518207282913,980,1000
0.72,0.8752525252525253,0.8735910295277356,0.7986960065199674,1.0,0.8880833710919801,1.0,0.753,0.8590986879634912,980,1000
0.73,0.8651515151515151,0.863019839140424,0.7858861267040899,1.0,0.880107768298159,1.0,0.733,0.845931909982689,980,1000
0.74,0.8378787878787879,0.834043509855217,0.7532667179093006,1.0,0.8592722490135906,1.0,0.679,0.8088147706968434,980,1000
0.75,0.8207070707070707,0.8154233983469772,0.7340823970037453,1.0,0.8466522678185745,1.0,0.645,0.78419452887538,980,1000
0.76,0.797979797979798,0.7902542372881356,0.7101449275362319,1.0,0.8305084745762712,1.0,0.6,0.75,980,1000
0.77,0.7727272727272727,0.761477713826797,0.6853146853146853,1.0,0.8132780082987552,1.0,0.55,0.7096774193548387,980,1000
0.78,0.75,0.7347335088063549,0.6644067796610169,1.0,0.7983706720977597,1.0,0.505,0.6710963455149501,980,1000
0.79,0.7247474747474747,0.7039323415025619,0.6426229508196721,1.0,0.782435129740519,1.0,0.455,0.6254295532646048,980,1000
0.8,0.6944444444444444,0.6652203986669182,0.6182965299684543,1.0,0.7641325536062378,1.0,0.395,0.5663082437275986,980,1000
0.81,0.6656565656565656,0.6263763327210599,0.5968331303288672,1.0,0.7475209763539283,1.0,0.338,0.5052316890881914,980,1000
0.8200000000000001,0.6353535353535353,0.5829263425444539,0.5757931844888367,1.0,0.7307979120059657,1.0,0.278,0.4350547730829421,980,1000
0.8300000000000001,0.6075757575757575,0.5403947778407463,0.5577689243027888,1.0,0.7161125319693095,1.0,0.223,0.36467702371218313,980,1000
0.84,0.5853535353535354,0.5042148054821293,0.5441421432537479,1.0,0.7047824523552679,1.0,0.179,0.30364715860899066,980,1000
0.85,0.5651515151515152,0.4694314153942011,0.532319391634981,1.0,0.6947890818858561,1.0,0.139,0.2440737489025461,980,1000
